date,id,branch,debit,credit,amount
2018-1-1,1,1,1,2,500000
2018-1-1,2,2,1,2,500000
2018-1-5,3,1,9,5,300000
2018-8-25,4,2,1,14,200000
2018-1-24,5,1,9,4,920
2018-7-21,6,1,9,4,920
2019-8-18,7,1,6,1,8000
2018-6-7,8,2,9,4,920
2019-9-13,9,2,9,4,920
2018-7-28,10,1,9,4,920
2018-5-4,11,2,9,4,920
2018-9-6,12,1,9,4,920
2019-7-23,13,1,9,4,920
2018-5-16,14,1,9,4,920
2018-9-15,15,2,9,4,920
2019-3-25,16,1,9,4,920
2018-3-6,17,1,9,4,920
2018-8-28,18,1,9,4,920
2019-11-28,19,1,9,4,920
2018-9-7,20,2,9,4,920
2019-2-10,21,2,9,4,920
2018-12-23,22,1,9,4,920
2018-11-25,23,2,9,4,920
2019-9-27,24,1,9,4,920
2019-12-22,25,1,9,4,920
2018-3-3,26,2,9,4,920
2019-8-4,27,1,9,4,920
2018-9-19,28,1,9,4,920
2018-7-17,29,1,9,4,920
2018-12-4,30,1,9,4,920
2019-9-19,31,2,5,1,3111
2018-11-5,32,2,9,4,920
2018-7-12,33,1,9,4,920
2019-7-26,34,2,6,1,9000
2019-2-11,35,1,9,4,920
2018-5-18,36,2,9,4,920
2018-11-28,37,2,9,4,920
2019-11-25,38,2,9,4,920
2018-11-22,39,2,6,1,9000
2018-6-9,40,2,9,4,920
2018-11-17,41,2,9,4,920
2018-6-4,42,2,9,4,920
2019-6-28,43,1,9,4,920
2019-8-23,44,1,9,4,920
2018-12-20,45,2,9,4,920
2019-10-1,46,2,9,4,920
2019-10-6,47,2,7,1,4300
2018-8-5,48,2,9,4,920
2019-1-17,49,1,9,4,920
2019-9-21,50,1,9,4,920
2019-9-13,51,2,9,4,920
2018-7-28,52,1,7,1,4300
2018-3-20,53,1,9,4,920
2019-7-14,54,1,9,4,920
2018-7-12,55,2,9,4,920
2018-1-1,56,1,9,4,920
2019-11-25,57,1,9,4,920
2018-9-6,58,2,9,4,920
2019-1-15,59,2,9,4,920
2018-11-25,60,1,9,4,920
2018-11-17,61,1,9,4,920
2018-5-12,62,2,9,4,920
2018-11-3,63,1,9,4,920
2019-8-28,64,1,9,4,920
2019-7-26,65,2,6,1,9000
2018-12-17,66,2,9,4,920
2019-9-22,67,1,12,4,69
2018-6-22,68,2,9,4,920
2019-6-24,69,2,9,4,920
2018-9-14,70,2,9,4,920
2019-12-25,71,1,9,4,920
2019-9-22,72,1,9,4,920
2019-9-19,73,1,9,4,920
2019-7-14,74,1,9,4,920
2018-10-14,75,1,9,4,920
2019-1-3,76,1,12,4,95
2018-6-3,77,1,9,4,920
2018-12-20,78,1,9,4,920
2018-4-9,79,2,9,4,920
2019-6-6,80,2,9,4,920
2019-4-12,81,2,9,4,920
2019-6-14,82,2,9,4,920
2018-10-8,83,2,9,4,920
2019-5-26,84,2,9,4,920
2018-4-16,85,2,9,4,920
2019-12-19,86,2,9,4,920
2019-5-20,87,1,9,4,920
2018-5-17,88,2,7,1,1500
2018-3-19,89,2,9,4,920
2018-3-4,90,1,9,4,920
2018-6-18,91,2,9,4,920
2018-10-3,92,2,9,4,920
2019-3-1,93,1,9,4,920
2018-9-28,94,1,9,4,920
