date,id,branch,debit,credit,amount
2018-1-1,1,1,1,2,500000
2018-1-1,2,2,1,2,500000
2018-1-5,3,1,9,5,300000
2018-8-25,4,2,1,14,200000
2019-7-3,5,1,9,4,920
2019-3-27,6,2,9,4,920
2019-7-13,7,2,13,9,24
2018-8-15,8,1,9,4,920
2019-2-2,9,2,9,4,920
2019-9-7,10,1,9,4,920
2018-1-8,11,1,9,4,920
2018-1-17,12,1,9,4,920
2018-7-27,13,1,9,4,920
2018-8-13,14,1,9,4,920
2018-9-10,15,2,9,4,920
2019-5-17,16,2,9,4,920
2018-12-21,17,2,9,4,920
2019-11-21,18,1,9,4,920
2018-5-20,19,2,9,4,920
2019-9-14,20,1,9,4,920
2019-9-24,21,2,9,4,920
2018-12-25,22,2,9,4,920
2019-6-17,23,2,9,4,920
2018-1-2,24,2,9,4,920
2019-2-4,25,2,9,4,920
2019-6-14,26,2,9,4,920
2018-1-6,27,1,9,4,920
2018-12-1,28,2,9,4,920
2018-6-7,29,1,9,4,920
2018-5-12,30,2,9,4,920
2019-7-24,31,2,9,4,920
2018-8-19,32,2,13,9,294
2018-12-6,33,2,9,4,920
2018-10-11,34,1,9,4,920
2018-1-25,35,2,9,4,920
2019-2-22,36,1,9,4,920
2019-1-14,37,1,9,4,920
2018-4-27,38,2,9,4,920
2018-10-14,39,1,9,4,920
2019-6-17,40,1,9,4,920
2019-1-18,41,1,9,4,920
2019-3-26,42,2,9,4,920
2019-1-1,43,1,9,4,920
2018-5-13,44,2,9,4,920
2019-12-14,45,2,9,4,920
2018-4-26,46,1,9,4,920
2019-7-2,47,2,9,4,920
2018-8-26,48,2,9,4,920
2019-4-12,49,2,9,4,920
2019-1-7,50,2,9,4,920
2018-1-24,51,1,9,4,920
2018-4-7,52,2,9,4,920
2019-8-6,53,2,9,4,920
2018-1-16,54,1,9,4,920
2019-5-4,55,2,9,4,920
2018-9-6,56,2,9,4,920
2018-4-21,57,2,9,4,920
2018-5-10,58,1,9,4,920
2018-4-26,59,1,6,1,9000
2018-3-19,60,2,9,4,920
2018-9-18,61,2,9,4,920
2019-3-28,62,2,9,4,920
2019-7-19,63,2,9,4,920
2019-9-25,64,2,9,4,920
2019-6-18,65,1,9,4,920
2019-9-2,66,2,9,4,920
2018-6-27,67,2,9,4,920
2019-3-7,68,2,9,4,920
2019-10-16,69,2,9,4,920
2018-11-13,70,2,9,4,920
2019-11-26,71,2,12,4,109
2018-1-25,72,2,9,4,920
2019-8-24,73,2,9,4,920
2018-2-27,74,1,9,4,920
2018-10-14,75,2,9,4,920
2018-3-3,76,2,9,4,920
2019-8-22,77,1,9,4,920
2019-1-28,78,1,9,4,920
2018-4-13,79,1,6,1,8000
2018-6-10,80,1,9,4,920
2019-2-9,81,2,9,4,920
2019-4-1,82,1,9,4,920
2018-12-1,83,1,9,4,920
2018-3-4,84,1,7,1,8500
2018-11-1,85,2,9,4,920
2019-5-15,86,1,9,4,920
2019-9-21,87,2,9,4,920
2018-7-20,88,2,9,4,920
2019-6-14,89,1,9,4,920
2019-6-8,90,1,9,4,920
2018-3-11,91,1,9,4,920
2018-6-10,92,2,9,4,920
2018-6-6,93,2,9,4,920
2019-6-19,94,2,9,4,920
